gpu_memory_utilization,max_num_seqs,max_num_batched_tokens,run_number,total_token_throughput,request_throughput,output_throughput,median_ttft_ms,p99_ttft_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,mean_e2el_ms,completed,failed
0.9,128,2048,0,13832.394989784674,12.574904536167885,1257.4904536167885,165.97390900096798,297.13093339734775,27.951206404028163,39.52551826466141,27.751281902021606,2914.774777779967,100,0
0.9,128,2048,1,14185.799162756823,12.896181057051656,1289.6181057051656,51.685689999430906,139.7911370988004,15.714528237386006,16.710449244436482,15.66277265848233,1608.4600101998149,100,0
0.9,128,2048,2,14139.501478194408,12.854092252904007,1285.4092252904006,52.93184000038309,70.3638289898663,15.940786979792225,16.5585815161665,15.787141125150482,1615.5612104801548,100,0
0.9,256,4096,0,13366.081542174908,12.150983220159008,1215.0983220159007,209.2482440002641,377.40289770772523,34.200021727277395,48.224204811231175,33.384024603533774,3517.0216031299788,100,0
0.9,256,4096,1,14330.584139349216,13.02780376304474,1302.7803763044742,49.881090000781114,137.4106091016074,14.467854257574544,15.641092174634528,14.562897153636085,1496.5893014400353,100,0
0.9,256,4096,2,14300.57011911439,13.00051829010399,1300.0518290103992,49.14434450256522,67.00321300002544,14.47635517172904,15.08428552522857,14.528445176666821,1487.7413532201172,100,0
0.95,128,2048,0,13917.760995880384,12.652509996254894,1265.2509996254894,171.69219400057045,296.6492883001048,28.51682311614635,40.10576164446339,28.294857232222146,2972.280742629955,100,0
0.95,128,2048,1,14405.858671828766,13.09623515620797,1309.623515620797,47.17718500069168,89.07706239166146,14.248312691933911,14.961719529386423,14.22969169373913,1459.429604020188,100,0
0.95,128,2048,2,14467.317345939024,13.152106678126385,1315.2106678126386,47.61760399924242,107.74525300184905,13.945989666657017,14.525711177904135,13.878371743737418,1423.3031985301568,100,0
0.95,256,4096,0,13323.003848574988,12.111821680522718,1211.1821680522717,210.7410129992786,381.4792178123391,33.537972000013184,48.25820850706841,33.28332416484927,3510.6145063302392,100,0
0.95,256,4096,1,14174.14606792659,12.885587334478718,1288.5587334478719,51.329654999790364,98.36878150214037,15.954456863641317,16.747886190906236,15.967190529292859,1635.3000023601999,100,0
0.95,256,4096,2,14211.09285406239,12.9191753218749,1291.91753218749,51.21290500028408,102.52739410061623,15.41980570706955,15.705516887881622,15.324681914543628,1570.1126219097205,100,0
